,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico,soma_fund_publico_dic
251,575,575,773,2020,SE,VEREADOR,LUCAS ANDRADE SANTOS,260001191406,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,27,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,74806.79,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,385.0,385.0,585.0,585.0,200.0,0.0
253,580,580,779,2020,GO,VEREADOR,JÚLIO TEIXEIRA DOS SANTOS,90000676468,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,29,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,111.0,222.0,0.0,0.0,0.0,0.0,111.0,222.0,222.0,0.0
258,587,587,790,2020,SE,VEREADOR,RONDINELLE OLIVEIRA SANTOS,260001233935,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,29,MASCULINO,SUPERIOR COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,61.0,122.0,0.0,0.0,355.65,1422.6,416.65,1544.6,122.0,0.0
267,600,600,814,2020,PE,VEREADOR,HÁVILLA MELO TRINDADE SOARES,170000646662,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,23,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,170.0,340.0,0.0,0.0,0.0,0.0,170.0,340.0,340.0,0.0
275,619,619,843,2020,PR,VEREADOR,RAHEL FERNANDO DE LIMA ALVES,160000844549,APTO,DEFERIDO,REPUBLICANOS,28,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,61.66,246.64,0.0,0.0,0.0,0.0,61.66,246.64,246.64,0.0
279,628,628,857,2020,SE,VEREADOR,JOSE DÁRIO BARRETO SANTOS,260001266189,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,MASCULINO,ENSINO MÉDIO INCOMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,150.0,150.0,0.0,0.0,0.0,0.0,150.0,150.0,150.0,0.0
286,645,645,877,2020,PB,VEREADOR,DELMIRO JÚNIOR DOMINGOS ALVES,150001185063,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,300.0,300.0,0.0,0.0,0.0,0.0,300.0,300.0,300.0,0.0
292,656,656,902,2020,RS,VEREADOR,IAVA LARISSA TREVISAN,210000854876,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,26,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,0.0,0.0,120.0,120.0,896.8181818181821,9865.0,1016.81818181818,9985.0,120.0,0.0
294,661,661,908,2020,PR,VEREADOR,ANGELA BEATRIZ GRAZIOTTO VIEIRA,160000983925,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,21,FEMININO,SUPERIOR INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,95.8333333333333,287.5,0.0,0.0,0.0,0.0,95.8333333333333,287.5,287.5,0.0
296,664,664,911,2020,MG,VEREADOR,MARIA LUIZA ALVES MEDEIROS,130001242033,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,23,FEMININO,SUPERIOR INCOMPLETO,BRANCA,39741.7,DEFERIDO,DEFERIDO,103.905,207.81,0.0,0.0,0.0,0.0,103.905,207.81,207.81,0.0
299,672,672,924,2020,SP,VEREADOR,DAIANE SILVATI SOUZA,250001114857,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,FEMININO,SUPERIOR COMPLETO,BRANCA,69135.94,DEFERIDO,DEFERIDO,0.0,0.0,96.3333333333333,289.0,0.0,0.0,96.3333333333333,289.0,289.0,0.0
301,679,679,937,2020,AP,VEREADOR,RICARDO LUCENA DO NASCIMENTO,30001198717,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,27,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,100.405,200.81,0.0,0.0,0.0,0.0,100.405,200.81,200.81,0.0
305,685,685,946,2020,PR,VEREADOR,MICHELE APARECIDA DE LIMA,160000749742,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,200.0,200.0,0.0,0.0,800.0,800.0,1000.0,1000.0,200.0,0.0
