,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico,soma_fund_publico_dic
58,122,122,165,2020,AM,VEREADOR,DALINE SANTOS DOS SANTOS,40000789946,APTO,DEFERIDO,REPUBLICANOS,26,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,5000.0,10000.0,0.0,0.0,0.0,0.0,5000.0,10000.0,10000.0,1.0
62,132,132,183,2020,MA,VEREADOR,GENTILESA PEREIRA DA SILVA NETA,100001210785,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,23,FEMININO,SUPERIOR COMPLETO,PARDA,166189.28,DEFERIDO,DEFERIDO,3064.0,3064.0,0.0,0.0,0.0,0.0,3064.0,3064.0,3064.0,1.0
71,162,162,232,2020,SP,VEREADOR,GUILHERME SPADARI BIANCO,250000640655,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,25,MASCULINO,SUPERIOR COMPLETO,BRANCA,141834.11,DEFERIDO,DEFERIDO,12437.69,24875.38,0.0,0.0,4346.0,21730.0,16783.69,46605.38,24875.38,1.0
74,167,167,238,2020,SP,VEREADOR,VINICIUS JORGE RIBEIRO LIMA,250001154719,APTO,DEFERIDO,REDE SUSTENTABILIDADE,25,MASCULINO,SUPERIOR COMPLETO,PARDA,3675197.12,DEFERIDO,DEFERIDO,14388.0,57552.0,0.0,0.0,4793.359166666671,57520.31,19181.359166666698,115072.31,57552.0,1.0
75,168,168,239,2020,RN,PREFEITO,ALLYSON LEANDRO BEZERRA SILVA,200000661444,APTO,DEFERIDO,SOLIDARIEDADE,28,MASCULINO,SUPERIOR COMPLETO,PARDA,3364740.19,DEFERIDO,DEFERIDO,105000.0,210000.0,0.0,0.0,8473.0,211825.0,113473.0,421825.0,210000.0,1.0
77,170,170,243,2020,PR,VEREADOR,LUANA FLAVIA MARIANO,160000681136,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,25853.55,DEFERIDO,DEFERIDO,556.9375,4455.5,0.0,0.0,41.04,123.12,597.9775,4578.62,4455.5,1.0
82,183,183,261,2020,RN,VEREADOR,BRENDA MEIRELE MELO DE ARAUJO,200001266775,APTO,DEFERIDO,AVANTE,27,FEMININO,SUPERIOR INCOMPLETO,PARDA,386587.77,DEFERIDO,DEFERIDO,864.4,4322.0,0.0,0.0,0.0,0.0,864.4,4322.0,4322.0,1.0
83,184,184,264,2020,RN,VEREADOR,IGOR MURILO DA SILVA OLIVEIRA,200000992238,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,20,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,17870.56,DEFERIDO,DEFERIDO,2513.85,5027.7,0.0,0.0,206.03333333333302,2472.4,2719.88333333333,7500.1,5027.7,1.0
85,188,188,268,2020,PB,VEREADOR,PATRICK TEIXEIRA DORNELES PIRES,150000738912,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,23,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,164340.55,DEFERIDO,DEFERIDO,3457.35,10372.05,0.0,0.0,1777.9357142857102,24891.1,5235.28571428571,35263.15,10372.05,1.0
89,199,199,284,2020,AP,VEREADOR,BRENDA NASCIMENTO BUENO,30001268608,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,22,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,15880.38,DEFERIDO,DEFERIDO,8000.0,8000.0,0.0,0.0,0.0,0.0,8000.0,8000.0,8000.0,1.0
91,202,202,287,2020,PR,VEREADOR,DANIEL SANTOS RIBEIRO,160001097925,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,MASCULINO,SUPERIOR COMPLETO,PRETA,530525.58,DEFERIDO,DEFERIDO,2367.5,7102.5,0.0,0.0,0.0,0.0,2367.5,7102.5,7102.5,1.0
94,212,212,300,2020,TO,VEREADOR,VITÓRIA PEREIRA GOMES,270001144697,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,19,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,4916.665,9833.33,0.0,0.0,0.0,0.0,4916.665,9833.33,9833.33,1.0
95,214,214,302,2020,RN,PREFEITO,EDUARDA GRACIELY ROCHA CARDOSO,200001164898,APTO,DEFERIDO,SOLIDARIEDADE,27,FEMININO,SUPERIOR COMPLETO,PRETA,123077.42,DEFERIDO,DEFERIDO,15000.0,15000.0,0.0,0.0,0.0,0.0,15000.0,15000.0,15000.0,1.0
100,224,224,319,2020,SP,VEREADOR,FRANCIELY FROIS,250001161835,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,318454.34,DEFERIDO,DEFERIDO,2000.0,4000.0,0.0,0.0,0.0,0.0,2000.0,4000.0,4000.0,1.0
103,231,231,331,2020,MS,VEREADOR,CAYO RAVI SANTOS NEVES,120000750982,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,27,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1750.0,3500.0,0.0,0.0,0.0,0.0,1750.0,3500.0,3500.0,1.0
105,238,238,339,2020,PB,VEREADOR,JOELLYMARA RAMOS MARTINS,150000938679,APTO,DEFERIDO,REPUBLICANOS,19,FEMININO,SUPERIOR INCOMPLETO,BRANCA,15951.59,DEFERIDO,DEFERIDO,6000.0,6000.0,14.0,14.0,14.0,14.0,6028.0,6028.0,6014.0,1.0
109,247,247,349,2020,BA,VEREADOR,JOAZI FARIAS MAIA,50000839149,APTO,DEFERIDO,AVANTE,26,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,62024.9,DEFERIDO,DEFERIDO,4000.0,4000.0,0.0,0.0,1116.93333333333,3350.8,5116.93333333333,7350.8,4000.0,1.0
110,251,251,355,2020,TO,VEREADOR,LUCAS DA SILVA RIBEIRO,270000751610,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1051.66666666667,3155.0,0.0,0.0,250.0,250.0,1301.66666666667,3405.0,3155.0,1.0
114,258,258,370,2020,RS,VEREADOR,JENIFFER DA SILVA DUARTE,210000809628,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,29,FEMININO,SUPERIOR INCOMPLETO,PRETA,91261.35,DEFERIDO,DEFERIDO,1724.81333333333,5174.44,0.0,0.0,361.0,722.0,2085.81333333333,5896.44,5174.44,1.0
127,284,284,402,2020,AM,VEREADOR,ARNON ANTONIO PEREIRA DE PAIVA,40000923054,APTO,DEFERIDO,REPUBLICANOS,26,MASCULINO,SUPERIOR INCOMPLETO,PARDA,82653.34,DEFERIDO,DEFERIDO,578.75,2893.75,0.0,0.0,0.0,0.0,578.75,2893.75,2893.75,1.0
128,286,286,404,2020,PI,VEREADOR,FRANCISCO DE ASSIS BRITO DO CARMO,180000807002,APTO,DEFERIDO,SOLIDARIEDADE,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,39866.21,DEFERIDO,DEFERIDO,0.0,0.0,6675.0,13350.0,675.0,1350.0,7350.0,14700.0,13350.0,1.0
129,287,287,405,2020,BA,VEREADOR,PAULO VINICIUS LEONE MACEDO DE SOUZA,50001067198,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,471.018333333333,2826.11,0.0,0.0,1580.0,7900.0,2051.0183333333302,10726.11,2826.11,1.0
132,290,290,408,2020,BA,VEREADOR,AMANDA CONCEIÇÃO SANTOS,50001116152,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,55428.38,DEFERIDO,DEFERIDO,1741.5,6966.0,0.0,0.0,0.0,0.0,1741.5,6966.0,6966.0,1.0
135,294,294,414,2020,AP,VEREADOR,IANE ALMEIDA DA SILVA,30000634175,APTO,DEFERIDO,PROGRESSISTAS,23,FEMININO,ENSINO MÉDIO COMPLETO,PRETA,151743.76,DEFERIDO,DEFERIDO,3800.0,11400.0,2000.0,2000.0,0.0,0.0,5800.0,13400.0,13400.0,1.0
136,299,299,421,2020,BA,VEREADOR,ARIANE MOREIRA DE SENNA,50000913250,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,29,FEMININO,SUPERIOR COMPLETO,PRETA,451919.94,DEFERIDO,DEFERIDO,1066.23555555556,9596.12,652.142222222222,5869.28,320.0,4800.0,2038.3777777777802,20265.4,15465.4,1.0
144,318,318,446,2020,AP,VEREADOR,UERLEN DOS SANTOS BENAYHUR,30000961389,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,22,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,4000.0,8000.0,0.0,0.0,0.0,0.0,4000.0,8000.0,8000.0,1.0
145,325,325,457,2020,RS,VEREADOR,MILENE DALILA SOARES,210000784182,APTO,DEFERIDO,PROGRESSISTAS,28,FEMININO,SUPERIOR COMPLETO,BRANCA,61681.98,DEFERIDO,DEFERIDO,1100.0,4400.0,0.0,0.0,0.0,0.0,1100.0,4400.0,4400.0,1.0
147,331,331,463,2020,PI,VEREADOR,ANDRESA MIRANDA DA SILVA,180001185027,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,22,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,67043.83,DEFERIDO,DEFERIDO,3995.0,7990.0,0.0,0.0,0.0,0.0,3995.0,7990.0,7990.0,1.0
151,344,344,479,2020,SE,VEREADOR,CAMILO FEITOSA DANIEL,260001036852,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,186003.67,DEFERIDO,DEFERIDO,21377.6666666667,64133.0,1700.0,1700.0,2671.78333333333,16030.7,25749.45,81863.7,65833.0,1.0
156,356,356,495,2020,SC,VEREADOR,ALINE BORGES MENDES,240001116198,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,27,FEMININO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,621.666666666667,3730.0,0.0,0.0,378.335,756.67,1000.00166666667,4486.67,3730.0,1.0
163,376,376,523,2020,PB,VEREADOR,CAMILA KESSIA CABRAL COSTA,150000720474,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,19,FEMININO,SUPERIOR INCOMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,8000.0,8000.0,0.0,0.0,1000.0,2000.0,9000.0,10000.0,8000.0,1.0
170,398,398,551,2020,RR,VEREADOR,VICTÓRIA MIGUEL DA SILVA,230000857660,APTO,DEFERIDO,REDE SUSTENTABILIDADE,20,FEMININO,ENSINO MÉDIO COMPLETO,INDÍGENA,62126.27,DEFERIDO,DEFERIDO,5712.0,28560.0,0.0,0.0,0.0,0.0,5712.0,28560.0,28560.0,1.0
175,413,413,567,2020,RJ,VEREADOR,MARCOS DAVI ARAUJO KLEIN,190001203058,APTO,DEFERIDO,REPUBLICANOS,25,MASCULINO,SUPERIOR COMPLETO,BRANCA,65010.28,DEFERIDO,DEFERIDO,4200.0,4200.0,0.0,0.0,0.0,0.0,4200.0,4200.0,4200.0,1.0
180,424,424,583,2020,RS,VEREADOR,WILLIAM DA LUZ,210001148340,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,MASCULINO,SUPERIOR INCOMPLETO,PARDA,82388.09,DEFERIDO,DEFERIDO,4294.75,4294.75,0.0,0.0,486.666666666667,2920.0,4781.4166666666715,7214.75,4294.75,1.0
183,427,427,586,2020,AC,VEREADOR,DAVID LIMA DE OLIVEIRA,10000972775,APTO,DEFERIDO,PROGRESSISTAS,29,MASCULINO,SUPERIOR COMPLETO,PARDA,22060.35,DEFERIDO,DEFERIDO,974.167222222222,17535.01,0.0,0.0,2000.0,2000.0,2974.16722222222,19535.01,17535.01,1.0
185,432,432,591,2020,PI,VEREADOR,EULÁLIA GONÇALVES DE ALMEIDA LIRA,180000719553,APTO,DEFERIDO,PARTIDO VERDE,19,FEMININO,SUPERIOR INCOMPLETO,PARDA,126700.68,DEFERIDO,DEFERIDO,620.0,620.0,2480.0,2480.0,1045.0,1045.0,4145.0,4145.0,3100.0,1.0
186,435,435,595,2020,PE,VEREADOR,MARIA NATALIA DA SILVA,170001173878,APTO,DEFERIDO,AVANTE,20,FEMININO,ENSINO MÉDIO INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,2647.5,5295.0,404.35,808.7,0.0,0.0,3051.85,6103.7,6103.7,1.0
187,436,436,596,2020,MA,VEREADOR,SUELY SILVA OLIVEIRA,100001249034,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,21,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,76080.84,DEFERIDO,DEFERIDO,3827.77,3827.77,0.0,0.0,0.0,0.0,3827.77,3827.77,3827.77,1.0
188,441,441,602,2020,RJ,VEREADOR,LUANA RODRIGUES DA SILVA,190000643881,APTO,DEFERIDO,PROGRESSISTAS,27,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,123938.93,DEFERIDO,DEFERIDO,2649.62833333333,31795.54,0.0,0.0,0.0,0.0,2649.62833333333,31795.54,31795.54,1.0
189,443,443,605,2020,AP,VEREADOR,ROSINALDO FARIAS PAIVA,30001134314,APTO,DEFERIDO,REPUBLICANOS,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,3600.0,3600.0,0.0,0.0,0.0,0.0,3600.0,3600.0,3600.0,1.0
192,451,451,613,2020,SP,VEREADOR,GABRIEL ADEILDO DOS SANTOS,250001059469,APTO,DEFERIDO,AVANTE,26,MASCULINO,SUPERIOR COMPLETO,PARDA,45458.02,DEFERIDO,DEFERIDO,451.354285714286,3159.48,0.0,0.0,0.0,0.0,451.354285714286,3159.48,3159.48,1.0
201,476,476,642,2020,RR,VEREADOR,RAMOM DA SILVA DO NASCIMENTO,230000679803,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,20,MASCULINO,SUPERIOR INCOMPLETO,PARDA,391772.1,DEFERIDO,DEFERIDO,13500.0,13500.0,700.0,700.0,1000.0,1000.0,15200.0,15200.0,14200.0,1.0
204,481,481,647,2020,GO,PREFEITO,MACKSON DEYVIDE DE ALMEIDA SOUSA,90000972792,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,28,MASCULINO,SUPERIOR COMPLETO,BRANCA,123077.42,DEFERIDO,DEFERIDO,56000.0,56000.0,0.0,0.0,2148.2625,8593.05,58148.2625,64593.05,56000.0,1.0
211,500,500,677,2020,SC,VEREADOR,HADASSA ALMEIDA FERREIRA,240000932631,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,28,FEMININO,SUPERIOR INCOMPLETO,PRETA,194842.85,DEFERIDO,DEFERIDO,5600.0,16800.0,0.0,0.0,0.0,0.0,5600.0,16800.0,16800.0,1.0
216,516,516,694,2020,PR,VEREADOR,AMANDA MONIQUE SUTIL LEITE,160001255546,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,FEMININO,SUPERIOR INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,2735.0,5470.0,136.86666666666702,410.6,0.0,0.0,2871.86666666667,5880.6,5880.6,1.0
217,519,519,697,2020,MG,VEREADOR,ABNER HENRIQUE SANTANA SOARES,130000880348,APTO,DEFERIDO,CIDADANIA,26,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,201824.84,DEFERIDO,DEFERIDO,3508.59,10525.77,0.0,0.0,4612.81818181818,50741.0,8121.40818181818,61266.77,10525.77,1.0
223,526,526,706,2020,BA,VEREADOR,FILIPE EVERTON DE ALMEIDA LIMA,50001253858,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,23,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,37494.31,DEFERIDO,DEFERIDO,8000.0,8000.0,0.0,0.0,0.0,0.0,8000.0,8000.0,8000.0,1.0
237,553,553,743,2020,PA,VEREADOR,DANIELA DO SOCORRO CORDEIRO GOMES,140001220956,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,28,FEMININO,SUPERIOR COMPLETO,PRETA,12307.75,DEFERIDO,DEFERIDO,3898.6,3898.6,0.0,0.0,766.666666666667,2300.0,4665.266666666671,6198.6,3898.6,1.0
245,566,566,762,2020,RN,VEREADOR,NATANAEL VIEIRA DA SILVA JÚNIOR,200000837239,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,222300.63,DEFERIDO,DEFERIDO,4000.0,4000.0,0.0,0.0,800.0,800.0,4800.0,4800.0,4000.0,1.0
257,586,586,787,2020,PB,VEREADOR,JOSE FELIPE FRANÇA FIRMINO,150001062822,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,15828.8,DEFERIDO,DEFERIDO,2120.0,10600.0,0.0,0.0,0.0,0.0,2120.0,10600.0,10600.0,1.0
261,592,592,798,2020,MG,VEREADOR,LEANDRO HENRIQUE SANTOS DA CRUZ,130001017010,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,MASCULINO,SUPERIOR INCOMPLETO,PARDA,259550.47,DEFERIDO,DEFERIDO,703.61,7739.71,0.0,0.0,965.739130434783,22212.0,1669.34913043478,29951.71,7739.71,1.0
270,607,607,822,2020,SE,PREFEITO,THALLES ANDRADE COSTA,260000871163,APTO,DEFERIDO,PARTIDO LIBERAL,23,MASCULINO,SUPERIOR INCOMPLETO,PARDA,123077.42,DEFERIDO,DEFERIDO,120000.0,120000.0,35000.0,35000.0,0.0,0.0,155000.0,155000.0,155000.0,1.0
271,611,611,830,2020,PB,PREFEITO,PAULO MEDEIROS BARRETO JÚNIOR,150000670304,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,28,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,123077.42,DEFERIDO,DEFERIDO,10000.0,20000.0,0.0,0.0,709.090909090909,7800.0,10709.090909090899,27800.0,20000.0,1.0
274,617,617,840,2020,RR,VEREADOR,RUTRA JOSÉ DA COSTA FONTELES,230000765187,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,26,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,62126.27,DEFERIDO,DEFERIDO,5000.0,5000.0,0.0,0.0,500.0,2000.0,5500.0,7000.0,5000.0,1.0
276,623,623,850,2020,PB,VEREADOR,DAMIÃO RILDO DA SILVA,150000798053,APTO,DEFERIDO,PARTIDO LIBERAL,28,MASCULINO,ENSINO MÉDIO COMPLETO,PRETA,74804.85,DEFERIDO,DEFERIDO,0.0,0.0,3000.0,3000.0,402.725,805.45,3402.725,3805.45,3000.0,1.0
283,637,637,867,2020,PB,VEREADOR,JOSÉ SAMUEL ANTONINO ALVES,150000732615,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,23,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,5000.0,5000.0,0.0,0.0,209.0,418.0,5209.0,5418.0,5000.0,1.0
293,659,659,906,2020,SP,VEREADOR,WELLINGTON ALVES DA SILVA,250000641045,APTO,DEFERIDO,PARTIDO LIBERAL,26,MASCULINO,SUPERIOR INCOMPLETO,PARDA,3675197.12,DEFERIDO,DEFERIDO,20000.0,20000.0,1400.0,2800.0,0.0,0.0,21400.0,22800.0,22800.0,1.0
297,666,666,915,2020,SC,VEREADOR,RAPHAEL MEIRA KNABBEN,240000660784,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,29,MASCULINO,SUPERIOR COMPLETO,PARDA,194842.85,DEFERIDO,DEFERIDO,2638.79,10555.16,0.0,0.0,0.0,0.0,2638.79,10555.16,10555.16,1.0
298,667,667,916,2020,MG,VEREADOR,MARINA EDUARDA OLIVEIRA CAMPOS,130000785882,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,27,FEMININO,SUPERIOR COMPLETO,PARDA,25883.23,DEFERIDO,DEFERIDO,1099.5233333333301,3298.57,0.0,0.0,387.265833333333,4647.19,1486.7891666666699,7945.76,3298.57,1.0
304,683,683,943,2020,AP,PREFEITO,BRENO LIMA DE ALMEIDA,30001132723,APTO,DEFERIDO,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,27,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,123077.42,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,2737.5,21900.0,12737.5,31900.0,10000.0,1.0
309,692,692,958,2020,PB,VEREADOR,INACIO JETULIO DE LEMOS,150001046459,APTO,DEFERIDO,PARTIDO LIBERAL,22,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,PARDA,12307.75,DEFERIDO,DEFERIDO,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0,1.0
317,707,707,982,2020,MG,PREFEITO,MATHEUS PERDIGAO DA SILVA,130000783162,APTO,DEFERIDO,AVANTE,22,MASCULINO,SUPERIOR INCOMPLETO,PARDA,123077.42,DEFERIDO,DEFERIDO,1808.52,5425.56,0.0,0.0,3463.9375,27711.5,5272.4575,33137.06,5425.56,1.0
324,720,720,1003,2020,MA,VEREADOR,JAINE GOMES DE MOURA,100001204223,APTO,DEFERIDO,PARTIDO LIBERAL,20,FEMININO,ENSINO MÉDIO COMPLETO,PARDA,39786.41,DEFERIDO,DEFERIDO,3000.0,3000.0,0.0,0.0,350.0,350.0,3350.0,3350.0,3000.0,1.0
335,736,736,1023,2020,AP,VEREADOR,CAIO CESAR DE CASTRO CORREA,30001032340,APTO,DEFERIDO,PARTIDO REPUBLICANO DA ORDEM SOCIAL,21,MASCULINO,ENSINO MÉDIO COMPLETO,PARDA,67946.23,DEFERIDO,DEFERIDO,3770.0,11310.0,0.0,0.0,0.0,0.0,3770.0,11310.0,11310.0,1.0
337,740,740,1029,2020,RJ,VEREADOR,LAIS APARECIDA LEITE MELO DA SILVA,190000665498,APTO,DEFERIDO,PARTIDO LIBERAL,22,FEMININO,ENSINO MÉDIO COMPLETO,SEM INFORMAÇÃO,1594577.38,DEFERIDO,DEFERIDO,5000.0,5000.0,136.793333333333,410.38,0.0,0.0,5136.7933333333285,5410.38,5410.38,1.0
342,748,748,1041,2020,SP,VEREADOR,ERIKA SANTOS SILVA,250000686838,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,28,FEMININO,SUPERIOR INCOMPLETO,PRETA,3675197.12,DEFERIDO,DEFERIDO,31242.17,62484.34,0.0,0.0,1597.1363636363599,35137.0,32839.3063636364,97621.34,62484.34,1.0
