,Unnamed: 0,Unnamed: 0.1,ANO_ELEICAO,SG_UF,DS_CARGO,NM_CANDIDATO,SQ_CANDIDATO,DS_SITUACAO_CANDIDATURA,DS_DETALHE_SITUACAO_CAND,NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA,DS_SITUACAO_CANDIDATO_PLEITO,DS_SITUACAO_CANDIDATO_URNA,media_esp,soma_esp,media_part,soma_part,media_out,soma_out,soma_media,soma_total,soma_fund_publico
51,51,68,2020,PA,VEREADOR,ODENISE RODRIGUES GONCALVES,140000741441,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,23,FEMININO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,32740.39,DEFERIDO,DEFERIDO,5046.38,5046.38,0.0,0.0,0.0,0.0,5046.38,5046.38,5046.38
52,52,69,2020,MG,VEREADOR,TIFANY DOS SANTOS SILVA,130000854427,APTO,DEFERIDO,PATRIOTA,22,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,7500.0,7500.0,0.0,0.0,0.0,0.0,7500.0,7500.0,7500.0
53,53,71,2020,AP,VEREADOR,DENILSON DOS SANTOS MACHADO,30000854482,APTO,DEFERIDO,REDE SUSTENTABILIDADE,28,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,67946.23,DEFERIDO,DEFERIDO,20000.0,40000.0,3800.0,3800.0,0.0,0.0,23800.0,43800.0,43800.0
55,55,74,2020,MG,VEREADOR,JOSIANE APARECIDA DE MELO FERREIRA,130001063489,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,73.0,73.0,0.0,0.0,153.333333333333,460.0,226.333333333333,533.0,73.0
57,57,76,2020,PA,VEREADOR,DANIELLE PEREIRA DOS SANTOS,140000922428,APTO,DEFERIDO,PATRIOTA,27,FEMININO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,15786.99,DEFERIDO,DEFERIDO,1000.0,1000.0,93.13,93.13,275.337857142857,3854.73,1368.46785714286,4947.86,1093.13
60,60,79,2020,PA,VEREADOR,TAYNARA KAUANE DA SILVA BARBOSA,140000977861,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,22,FEMININO,ENSINO MÉDIO INCOMPLETO,NEGRA,19881.24,DEFERIDO,DEFERIDO,898.6,898.6,0.0,0.0,92.0,184.0,990.6,1082.6,898.6
62,62,81,2020,PR,VEREADOR,ANA YASMIN ALVES AGUIAR,160001225218,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,24,FEMININO,SUPERIOR COMPLETO,BRANCA,106531.81,DEFERIDO,DEFERIDO,83.906,419.53,0.0,0.0,395.1125,1580.45,479.0185,1999.98,419.53
63,63,84,2020,SC,VEREADOR,DIOGO BOARO,240000877435,APTO,DEFERIDO,PROGRESSISTAS,29,MASCULINO,SUPERIOR COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,1000.0,2000.0,2000.0,3000.0,1000.0
65,65,87,2020,PR,VEREADOR,VINICIUS DE OLIVEIRA VIDOTI,160001049353,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,33010.98,DEFERIDO,DEFERIDO,710.0,1420.0,0.0,0.0,835.0,1670.0,1545.0,3090.0,1420.0
67,67,89,2020,AM,VEREADOR,PEDRIANE BERNARDO BARROSO,40001159405,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,26,FEMININO,ENSINO MÉDIO INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,211.666666666667,635.0,0.0,0.0,255.0,510.0,466.666666666667,1145.0,635.0
68,68,91,2020,RS,VEREADOR,GIOVANA STRECK BRASIL DA SILVA,210000997409,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,20,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,1000.0,2000.0,0.0,0.0,500.0,500.0,1500.0,2500.0,2000.0
70,70,95,2020,SP,VEREADOR,ROMARIA DOS SANTOS TELES,250000661985,APTO,DEFERIDO,SOLIDARIEDADE,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,15344.89,DEFERIDO,DEFERIDO,1529.0,1529.0,0.0,0.0,77.5,155.0,1606.5,1684.0,1529.0
74,74,100,2020,SP,VEREADOR,PEDRO GOMES TEOTONIO,250001159532,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,24,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,59093.31,DEFERIDO,DEFERIDO,393.55,393.55,0.0,0.0,242.83666666666696,728.51,636.386666666667,1122.06,393.55
77,77,104,2020,MG,VEREADOR,LAIS GOMES DA SILVA,130001109120,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,201824.84,DEFERIDO,DEFERIDO,262.885,525.77,0.0,0.0,0.0,0.0,262.885,525.77,525.77
78,78,105,2020,MA,VEREADOR,BRENDA MEDEIROS DE MATOS ALMEIDA,100000848665,APTO,DEFERIDO,PODEMOS,20,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,504192.26,DEFERIDO,DEFERIDO,5000.0,5000.0,0.0,0.0,0.0,0.0,5000.0,5000.0,5000.0
80,80,107,2020,MG,VEREADOR,MAYCON BRIGIDA DA SILVA,130000760691,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,27,MASCULINO,SUPERIOR COMPLETO,NEGRA,15377.0,DEFERIDO,DEFERIDO,50.0,50.0,0.0,0.0,99.305,397.22,149.305,447.22,50.0
81,81,109,2020,PR,VEREADOR,VITOR AFONSO DE JESUS,160000954935,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,27,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,166.718333333333,1000.31,0.0,0.0,103.0,412.0,269.718333333333,1412.31,1000.31
83,83,112,2020,GO,VEREADOR,GABRIELLA PEREIRA DE OLIVEIRA DE MELO,90001066831,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,25,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,28757.64,DEFERIDO,DEFERIDO,350.72,1402.88,0.0,0.0,0.0,0.0,350.72,1402.88,1402.88
85,85,114,2020,BA,VEREADOR,IVO RODRIGUES DA CONCEIÇÃO,50000798923,APTO,DEFERIDO,PARTIDO SOCIALISMO E LIBERDADE,23,MASCULINO,SUPERIOR INCOMPLETO,NEGRA,42133.06,DEFERIDO,DEFERIDO,115.0,345.0,0.0,0.0,400.0,400.0,515.0,745.0,345.0
87,87,116,2020,SC,VEREADOR,TATIANE PIOVEZAN,240001071288,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,2000.0,2000.0,0.0,0.0,1342.075,10736.6,3342.075,12736.6,2000.0
88,88,118,2020,SE,VEREADOR,MICHEL BISPO DE OLIVEIRA,260001128189,APTO,DEFERIDO,SOLIDARIEDADE,26,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,133.0,133.0,0.0,0.0,837.5,1675.0,970.5,1808.0,133.0
89,89,120,2020,SE,VEREADOR,ELAINE DE JESUS,260000840621,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,19083.61,DEFERIDO,DEFERIDO,2000.0,2000.0,0.0,0.0,0.0,0.0,2000.0,2000.0,2000.0
91,91,123,2020,PR,VEREADOR,ROMENIQUE DE OLIVEIRA BARROS,160000856820,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,22,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,243.18,972.72,0.0,0.0,522.633333333333,1567.9,765.8133333333329,2540.62,972.72
92,92,125,2020,MA,VEREADOR,ANTONIA FERNANDA FERREIRA DA SILVA,100001111653,APTO,DEFERIDO,PODEMOS,23,FEMININO,SUPERIOR INCOMPLETO,NEGRA,149404.9,DEFERIDO,DEFERIDO,48.0,48.0,0.0,0.0,500.0,1000.0,548.0,1048.0,48.0
94,94,130,2020,RS,VEREADOR,BRUNA DE MOURA MOTA DOMINGUES,210000642409,APTO,DEFERIDO,REPUBLICANOS,27,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,24062.2,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,98.15,392.6,1098.15,1392.6,1000.0
95,95,131,2020,MG,VEREADOR,HENRIQUE RODRIGUES BRASIL COSTA,130000859934,APTO,DEFERIDO,REDE SUSTENTABILIDADE,21,MASCULINO,SUPERIOR INCOMPLETO,BRANCA,23117.67,DEFERIDO,DEFERIDO,135.85,271.7,0.0,0.0,2334.3333333333303,7003.0,2470.18333333333,7274.7,271.7
104,104,141,2020,SP,VEREADOR,DEBORA MARTINS DA SILVA,250000664215,APTO,DEFERIDO,DEMOCRACIA CRISTÃ,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,113318.61,DEFERIDO,DEFERIDO,750.0,3750.0,0.0,0.0,909.023333333333,2727.07,1659.02333333333,6477.07,3750.0
106,106,143,2020,BA,VEREADOR,MATHEUS RODRIGUES DE OLIVEIRA,50000921063,APTO,DEFERIDO,PROGRESSISTAS,27,MASCULINO,SUPERIOR COMPLETO,NEGRA,15415.63,DEFERIDO,DEFERIDO,10000.0,10000.0,0.0,0.0,396.7857142857141,2777.5,10396.7857142857,12777.5,10000.0
109,109,150,2020,MG,VEREADOR,MILENA ÂNGELA CREPALDI SILVA,130000653785,APTO,DEFERIDO,PATRIOTA,21,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,9.0,9.0,0.0,0.0,137.25,137.25,146.25,146.25,9.0
110,110,151,2020,PA,VEREADOR,GERALDO OLIVEIRA DOS SANTOS FILHO,140001252700,APTO,DEFERIDO,PARTIDO SOCIAL CRISTÃO,29,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,481.4,2407.0,0.0,0.0,500.0,500.0,981.4,2907.0,2407.0
111,111,152,2020,RS,VEREADOR,LAURA SOARES SITO SILVEIRA,210000845671,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,29,FEMININO,SUPERIOR COMPLETO,NEGRA,489142.84,DEFERIDO,DEFERIDO,10075.184,50375.92,448.0,1344.0,537.229885057471,46739.0,11060.4138850575,98458.92,51719.92
114,114,156,2020,RS,VEREADOR,GIOVANE MARTINS VAZ DOS SANTOS,210001250416,APTO,DEFERIDO,CIDADANIA,26,MASCULINO,SUPERIOR COMPLETO,BRANCA,489142.84,DEFERIDO,DEFERIDO,1798.285,7193.14,0.0,0.0,3252.755,19516.53,5051.04,26709.67,7193.14
115,115,157,2020,PR,VEREADOR,BEATRIS GONÇALVES DOS SANTOS,160001102540,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,22,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,41.0,82.0,275.0,550.0,71.6075,286.43,387.6075,918.43,632.0
122,122,165,2020,AM,VEREADOR,DALINE SANTOS DOS SANTOS,40000789946,APTO,DEFERIDO,REPUBLICANOS,26,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,5000.0,10000.0,0.0,0.0,0.0,0.0,5000.0,10000.0,10000.0
123,123,166,2020,MG,VEREADOR,ALVARO NAZARENO DA SILVA,130001128310,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,24,MASCULINO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,64.0,64.0,0.0,0.0,33.75,67.5,97.75,131.5,64.0
125,125,169,2020,SP,VEREADOR,CAROLINE MUNARIM TOFARELLI DOS SANTOS,250000793088,APTO,DEFERIDO,PARTIDO LIBERAL,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,BRANCA,164003.69,DEFERIDO,DEFERIDO,146.43200000000002,732.16,0.0,0.0,137.59,412.77,284.022,1144.93,732.16
131,131,180,2020,RN,VEREADOR,MICHELLE INGRID SABINO DA SILVA,200000882507,APTO,DEFERIDO,PARTIDO SOCIAL LIBERAL,29,FEMININO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,2000.0,2000.0,0.0,0.0,62.0,62.0,2062.0,2062.0,2000.0
132,132,183,2020,MA,VEREADOR,GENTILESA PEREIRA DA SILVA NETA,100001210785,APTO,DEFERIDO,PARTIDO SOCIAL DEMOCRÁTICO,23,FEMININO,SUPERIOR COMPLETO,NEGRA,166189.28,DEFERIDO,DEFERIDO,3064.0,3064.0,0.0,0.0,0.0,0.0,3064.0,3064.0,3064.0
135,135,187,2020,MG,VEREADOR,VANESSA APARECIDA BATISTA,130000822912,APTO,DEFERIDO,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA,20,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,12307.75,DEFERIDO,DEFERIDO,50.0,50.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0
139,139,191,2020,PE,VEREADOR,VILIANE JUCIELE MELO LUCAS,170001147398,APTO,DEFERIDO,REDE SUSTENTABILIDADE,24,FEMININO,ENSINO MÉDIO INCOMPLETO,BRANCA,30212.71,DEFERIDO,DEFERIDO,352.0,1056.0,0.0,0.0,80.0,160.0,432.0,1216.0,1056.0
144,144,198,2020,SP,VEREADOR,RAFAELA DE FÁTIMA RODRIGUES,250000971350,APTO,DEFERIDO,DEMOCRATAS,26,FEMININO,ENSINO MÉDIO COMPLETO,BRANCA,54464.28,DEFERIDO,DEFERIDO,54.66625,437.33,0.0,0.0,0.0,0.0,54.66625,437.33,437.33
145,145,199,2020,SP,VEREADOR,STEFELI SILVA DA CRUZ MARCELINO GOMES,250000805209,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,26,FEMININO,ENSINO FUNDAMENTAL COMPLETO,NEGRA,40006.14,DEFERIDO,DEFERIDO,1313.75,1313.75,0.0,0.0,350.0,350.0,1663.75,1663.75,1313.75
148,148,202,2020,MA,VEREADOR,JOSIMAR SANTOS DA SILVA,100000831215,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,29,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,657.775,1315.55,0.0,0.0,0.0,0.0,657.775,1315.55,1315.55
154,154,217,2020,PE,VEREADOR,RAYANE MAYARA SOUZA DA SILVA,170001108937,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,21,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,39039.74,DEFERIDO,DEFERIDO,1033.47,2066.94,0.0,0.0,2500.0,2500.0,3533.47,4566.94,2066.94
157,157,221,2020,RN,VEREADOR,FRANCISCO DE ASSIS LIMA DE OLIVEIRA,200001036207,APTO,DEFERIDO,PARTIDO SOCIALISTA BRASILEIRO,28,MASCULINO,ENSINO MÉDIO INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,70.0,140.0,0.0,0.0,0.0,0.0,70.0,140.0,140.0
160,160,225,2020,MA,VEREADOR,LUANA RAQUEL LIMA DE ARAUJO,100000831237,APTO,DEFERIDO,PARTIDO LIBERAL,28,FEMININO,SUPERIOR INCOMPLETO,NEGRA,12307.75,DEFERIDO,DEFERIDO,600.0,600.0,0.0,0.0,0.0,0.0,600.0,600.0,600.0
162,162,232,2020,SP,VEREADOR,GUILHERME SPADARI BIANCO,250000640655,APTO,DEFERIDO,PARTIDO COMUNISTA DO BRASIL,25,MASCULINO,SUPERIOR COMPLETO,BRANCA,141834.11,DEFERIDO,DEFERIDO,12437.69,24875.38,0.0,0.0,4346.0,21730.0,16783.69,46605.38,24875.38
163,163,233,2020,PE,VEREADOR,FILIPE LINS OLIVEIRA DA SILVA,170001072679,APTO,DEFERIDO,PATRIOTA,29,MASCULINO,ENSINO MÉDIO COMPLETO,NEGRA,23077.95,DEFERIDO,DEFERIDO,120.0,120.0,0.0,0.0,323.94333333333304,971.83,443.943333333333,1091.83,120.0
165,165,235,2020,PI,VEREADOR,KAIO JOSE FERREIRA DA SILVA,180001201831,APTO,DEFERIDO,PARTIDO DOS TRABALHADORES,23,MASCULINO,SUPERIOR INCOMPLETO,NEGRA,50458.45,DEFERIDO,DEFERIDO,1000.0,1000.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0
167,167,238,2020,SP,VEREADOR,VINICIUS JORGE RIBEIRO LIMA,250001154719,APTO,DEFERIDO,REDE SUSTENTABILIDADE,25,MASCULINO,SUPERIOR COMPLETO,NEGRA,3675197.12,DEFERIDO,DEFERIDO,14388.0,57552.0,0.0,0.0,4793.359166666671,57520.31,19181.359166666694,115072.31,57552.0
168,168,239,2020,RN,PREFEITO,ALLYSON LEANDRO BEZERRA SILVA,200000661444,APTO,DEFERIDO,SOLIDARIEDADE,28,MASCULINO,SUPERIOR COMPLETO,NEGRA,3364740.19,DEFERIDO,DEFERIDO,105000.0,210000.0,0.0,0.0,8473.0,211825.0,113473.0,421825.0,210000.0
169,169,240,2020,RJ,VEREADOR,SUZANA PARAI EUZEBIO DE OLIVEIRA,190000648119,APTO,DEFERIDO,PARTIDO DEMOCRÁTICO TRABALHISTA,22,FEMININO,ENSINO FUNDAMENTAL INCOMPLETO,INDÍGENA,102076.08,DEFERIDO,DEFERIDO,355.625,1422.5,0.0,0.0,433.333333333333,1300.0,788.958333333333,2722.5,1422.5
170,170,243,2020,PR,VEREADOR,LUANA FLAVIA MARIANO,160000681136,APTO,DEFERIDO,MOVIMENTO DEMOCRÁTICO BRASILEIRO,24,FEMININO,ENSINO MÉDIO COMPLETO,NEGRA,25853.55,DEFERIDO,DEFERIDO,556.9375,4455.5,0.0,0.0,41.04,123.12,597.9775,4578.62,4455.5
173,173,246,2020,PI,VEREADOR,MARIO PAIVA AMORIM CAMPOS,180000961888,APTO,DEFERIDO,PARTIDO TRABALHISTA BRASILEIRO,27,MASCULINO,SUPERIOR COMPLETO,NEGRA,50458.45,DEFERIDO,DEFERIDO,160.175,320.35,0.0,0.0,147.725,295.45,307.9,615.8,320.35
